conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1,2025-03-17,207,Naruto is the best anime ever!,1,,,en,,0,17,13,,1,@naruto_fan
2,2025-03-13,14,Ichiraku Ramen looks so good 😭,2,,,en,,0,6,43,,2,@leafshinobi
3,2025-03-09,80,Naruto is the best anime ever!,3,,,en,,0,16,49,,3,@anime_binger
4,2025-03-15,31,Ichiraku Ramen looks so good 😭,4,,,en,,0,6,25,,4,@team7fan
5,2025-03-16,127,Naruto openings are elite 🔥,5,,,en,,0,5,25,,5,@otakucorner
6,2025-03-10,272,Team 7 reunion hits hard every time.,6,,,en,,0,5,18,,6,@konoha_daily
7,2025-03-15,300,Sasuke > Naruto. Fight me.,7,,,en,,0,10,32,,7,@naruto_fan
8,2025-03-10,51,Shikamaru is seriously underrated.,8,,,en,,0,13,13,,8,@konoha_daily
9,2025-03-18,201,Throwback to Naruto vs. Pain fight 😭,9,,,en,,0,5,45,,9,@leafshinobi
10,2025-03-09,82,Sasuke > Naruto. Fight me.,10,,,en,,0,4,40,,10,@leafshinobi
11,2025-03-16,40,Naruto's story is so inspirational.,11,,,en,,0,1,23,,11,@anime_binger
12,2025-03-08,279,Naruto's story is so inspirational.,12,,,en,,0,17,25,,12,@team7fan
13,2025-03-09,271,Rewatching Naruto for the 5th time this year!,13,,,en,,0,6,16,,13,@naruto_fan
14,2025-03-13,255,Ichiraku Ramen looks so good 😭,14,,,en,,0,0,18,,14,@weeblife
15,2025-03-16,37,Throwback to Naruto vs. Pain fight 😭,15,,,en,,0,16,13,,15,@weeblife
16,2025-03-16,36,Team 7 reunion hits hard every time.,16,,,en,,0,3,26,,16,@ramenlover
17,2025-03-10,272,Throwback to Naruto vs. Pain fight 😭,17,,,en,,0,9,23,,17,@otakucorner
18,2025-03-11,167,Shikamaru is seriously underrated.,18,,,en,,0,15,26,,18,@otakucorner
19,2025-03-16,208,Naruto's story is so inspirational.,19,,,en,,0,19,34,,19,@sasuke_uchiha
20,2025-03-14,39,Naruto's story is so inspirational.,20,,,en,,0,5,25,,20,@naruto_fan
21,2025-03-15,46,Rewatching Naruto for the 5th time this year!,21,,,en,,0,7,33,,21,@otakucorner
22,2025-03-12,146,Throwback to Naruto vs. Pain fight 😭,22,,,en,,0,1,36,,22,@naruto_fan
